firm_name,addr_dept_main,n_offres,sector_main,avg_req_exp,avg_wage,top_skill_req,n_patents,ipc_main_code,ipc_main_desc,ipc_second_code,ipc_second_desc,addr_city_main
Beebryte SAS,69,,,,,,5,G06Q,"DATA PROCESSING SYSTEMS OR METHODS, SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES; SYSTEMS OR METHODS SPECIALLY ADAPTED FOR ADMINISTRATIVE, COMMERCIAL, FINANCIAL, MANAGERIAL, SUPERVISORY OR FORECASTING PURPOSES, NOT OTHERWISE PROVIDED FOR",H02J,"CIRCUIT ARRANGEMENTS OR SYSTEMS FOR SUPPLYING OR DISTRIBUTING ELECTRIC POWER; SYSTEMS FOR STORING ELECTRIC ENERGY (power supply circuits for apparatus for measuring X-radiation, gamma radiation, corpuscular radiation or cosmic radiation G01T0001175000; electric power supply circuits specially adapted for use in electronic time-pieces with no moving parts G04G0019000000; for digital computers G06F0001180000; for discharge tubes H01J0037248000; circuits or apparatus for the conversion of electric power, arrangements for control or regulation of such circuits or apparatus H02M; interrelated control of several motors, control of a prime-mover/generator combination H02P; control of high-frequency power H03L; additional use of power line or power network for transmission of information H04B)",Lyon
Beewair,71,,,,,,8,A61L,"METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL; DISINFECTION, STERILISATION, OR DEODORISATION OF AIR; CHEMICAL ASPECTS OF BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES; MATERIALS FOR BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES (preservation of bodies or disinfecting characterised by the agent employed A01N; preserving, e.g. sterilising, food or foodstuffs A23; preparations for medical, dental or toilet purposes A61K)",B01D,"SEPARATION (separating solids from solids by wet methods B03B, B03D, by pneumatic jigs or tables B03B, by other dry methods B07; magnetic or electrostatic separation of solid materials from solid materials or fluids, separation by high-voltage electric fields B03C; centrifuges B04B; presses per se for squeezing-out liquid from liquid-containing material B30B0009020000)",Charnay les Macon
Beghin Meiji SA,59,,,,,,11,A23L,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES ; A21D;  OR A23B-A23J; THEIR PREPARATION OR TREATMENT, e.g. COOKING, MODIFICATION OF NUTRITIVE QUALITIES, PHYSICAL TREATMENT (shaping or working, not fully covered by this subclass, A23P); PRESERVATION OF FOODS OR FOODSTUFFS, IN GENERAL (preservation of flour or dough for baking A21D)",A61K,"PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J0003000000; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L)",Tour
Behm,57,,,,,,2,E04F,"FINISHING WORK ON BUILDINGS, e.g. STAIRS, FLOORS (windows, doors E06B)",F16M,"FRAMES, CASINGS, OR BEDS, OF ENGINES OR OTHER MACHINES OR APPARATUS, NOT SPECIFIC TO AN ENGINE, MACHINE, OR APPARATUS PROVIDED FOR ELSEWHERE; STANDS OR SUPPORTS",Thionville
Behr France Rouffach SAS,68,,,,,,73,B60H,"ARRANGEMENTS OR ADAPTATIONS OF HEATING, COOLING, VENTILATING, OR OTHER AIR-TREATING DEVICES SPECIALLY FOR PASSENGER OR GOODS SPACES OF VEHICLES",F24H,"FLUID HEATERS, e.g. WATER OR AIR HEATERS, HAVING HEAT-GENERATING MEANS, IN GENERAL (heat-transfer, heat-exchange or heat-storage materials C09K0005000000; tube furnaces for thermal non-catalytic cracking C10G0009200000; devices, e.g. valves, for venting and aerating enclosures F16K0024000000; steam traps or like apparatus F16T; steam generation F22; combustion apparatus F23; domestic stoves or ranges F24B, F24C; domestic- or space-heating systems F24D; furnaces, kilns, ovens, retorts F27; heat-exchangers F28; electric heating elements or arrangements H05B)",Rouffach
"Belbecir, Bilel",69,,,,,,1,B65B,"MACHINES, APPARATUS OR DEVICES FOR, OR METHODS OF, PACKAGING ARTICLES OR MATERIALS; UNPACKING (bundling and pressing devices for cigars A24C0001440000; paper-bag holders as shop or office accessories A47F0013080000; apparatus for coating, e.g. by dipping, B05C; devices for tensioning and securing binders adapted to be supported by the article or articles to be bound B25B; nailing or stapling devices B25C, B27F; inserting documents in envelopes and closing the latter B43M0003000000, B43M0005000000; labelling B65C; wrappers, containers or other packaging elements, e.g. binders, closures, protective caps, B65D; transport or storage devices B65G; devices for handling sheets or webs of interest apart from their application in packaging machines B65H; applying closure members to bottles, jars or similar containers B67B; hand- or power-operated devices not attached to, or not incorporated in, containers or container closures for opening closed containers B67B0007000000; packaging of matches C06F; wrapping sugar during manufacture C13B0045020000; packaging of ammunition or explosive charges F42B0039000000; making containers or receptacles, see the appropriate subclasses);","","",Neuville sur Saone
"Belhadj-Tahar, Hafid",31,,,,,,5,A61K,"PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J0003000000; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L)",C08G,MACROMOLECULAR COMPOUNDS OBTAINED OTHERWISE THAN BY REACTIONS ONLY INVOLVING CARBON-TO-CARBON UNSATURATED BONDS (fermentation or enzyme-using processes to synthesise a desired chemical compound or composition or to separate optical isomers from a racemic mixture C12P),Toulouse
Believe,75,2,"Communication, Internet",7,,"Anglais, AWS",,,,,,
"Belisaire, Daniel",35,,,,,,3,A47G,HOUSEHOLD OR TABLE EQUIPMENT (book-ends A47B0065000000; knives B26B),B32B,"LAYERED PRODUCTS, i.e. PRODUCTS BUILT-UP OF STRATA OF FLAT OR NON-FLAT, e.g. CELLULAR OR HONEYCOMB, FORM",Dinard
Bell & Wyson,92,,,,,,8,F21V,"FUNCTIONAL FEATURES OR DETAILS OF LIGHTING DEVICES OR SYSTEMS THEREOF; STRUCTURAL COMBINATIONS OF LIGHTING DEVICES WITH OTHER ARTICLES, NOT OTHERWISE PROVIDED FOR",F21K,LIGHT SOURCES NOT OTHERWISE PROVIDED FOR,Gennevilliers
Belledonne Communications,38,,,,,,6,H04L,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION (typewriters B41J; order telegraphs, fire or police telegraphs G08B; visual telegraphy G08B, G08C; teleautographic systems G08C; ciphering or deciphering apparatus per seG09C; coding, decoding or code conversion, in general H03M; arrangements common to telegraphic and telephonic communication H04M; selecting H04Q; wireless communicationnetworksH04W)",H04J,MULTIPLEX COMMUNICATION (peculiar to transmission of digital information H04L0005000000; systems for the simultaneous or sequential transmission of more than one television signal H04N0007080000; in exchanges H04Q0011000000),Grenoble
Belles Feuilles,75,,,,,,4,A61K,"PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J0003000000; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L)",A23L,"FOODS, FOODSTUFFS, OR NON-ALCOHOLIC BEVERAGES, NOT COVERED BY SUBCLASSES ; A21D;  OR A23B-A23J; THEIR PREPARATION OR TREATMENT, e.g. COOKING, MODIFICATION OF NUTRITIVE QUALITIES, PHYSICAL TREATMENT (shaping or working, not fully covered by this subclass, A23P); PRESERVATION OF FOODS OR FOODSTUFFS, IN GENERAL (preservation of flour or dough for baking A21D)",Paris
"Bellet, Christophe, Christian, Francois",69,,,,,,6,B65H,"HANDLING THIN OR FILAMENTARY MATERIAL, e.g. SHEETS, WEBS, CABLES",C12C,"BREWING OF BEER (cleaning of raw materials A23N; pitching or depitching machines, cellar tools C12L; propagating yeasts C12N0001140000)",Caluire et Cuire
"Bellili, Ali",91,,,,,,1,A45F,TRAVELLING OR CAMP EQUIPMENT; SACKS OR PACKS CARRIED ON THE BODY (hand carried bags or luggage A45C),"","",Gif sur Yvette
Belovia,71,,,,,,1,A47G,HOUSEHOLD OR TABLE EQUIPMENT (book-ends A47B0065000000; knives B26B),"","",Autun
"Ben Brahim, Abdelkader",94,,,,,,14,B01D,"SEPARATION (separating solids from solids by wet methods B03B, B03D, by pneumatic jigs or tables B03B, by other dry methods B07; magnetic or electrostatic separation of solid materials from solid materials or fluids, separation by high-voltage electric fields B03C; centrifuges B04B; presses per se for squeezing-out liquid from liquid-containing material B30B0009020000)",C10K,PURIFYING OR MODIFYING THE CHEMICAL COMPOSITION OF COMBUSTIBLE GASES CONTAINING CARBON MONOXIDE,""
"Ben-Naser, Youssef",77,,,,,,3,G09C,CIPHERING OR DECIPHERING APPARATUS FOR CRYPTOGRAPHIC OR OTHER PURPOSES INVOLVING THE NEED FOR SECRECY,H04L,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION (typewriters B41J; order telegraphs, fire or police telegraphs G08B; visual telegraphy G08B, G08C; teleautographic systems G08C; ciphering or deciphering apparatus per seG09C; coding, decoding or code conversion, in general H03M; arrangements common to telegraphic and telephonic communication H04M; selecting H04Q; wireless communicationnetworksH04W)",Serris
"Benalikhoudja, Karim",64,,,,,,9,B05B,SPRAYING APPARATUS; ATOMISING APPARATUS; NOZZLES (spray-mixers with nozzles B01F0005200000; processes for applying liquids or other fluent materials to surfaces by spraying B05D),A61M,"DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY (introducing media into or onto the bodies of animals A61D0007000000; means for inserting tampons A61F0013260000; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J0001050000); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L; magnetotherapy using magnetic elements placed within the body A61N0002100000); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR",Serres Sainte Marie
"Benarrouch, Jacques",69,,,,,,2,B62K,"CYCLES; CYCLE FRAMES; CYCLE STEERING DEVICES; RIDER-OPERATED TERMINAL CONTROLS SPECIALLY ADAPTED FOR CYCLES; CYCLE AXLE SUSPENSIONS; CYCLE SIDECARS, FORECARS, OR THE LIKE","","",Villeurbanne
"Benci, Serge",42,,,,,,4,E04H,"BUILDINGS OR LIKE STRUCTURES FOR PARTICULAR PURPOSES; SWIMMING OR SPLASH BATHS OR POOLS; MASTS; FENCING; TENTS OR CANOPIES, IN GENERAL (foundations E02D)","","",""
"Benessiano, Veronique",69,,,,,,4,E03D,WATER-CLOSETS OR URINALS WITH FLUSHING DEVICES; FLUSHING VALVES THEREFOR,E03C,"DOMESTIC PLUMBING INSTALLATIONS FOR FRESH WATER OR WASTE WATER (not connected to either water-supply main or to waste pipe A47K; devices of the kind used in the ground E03B, E03F); SINKS",Villefranche sur Saone
"Bengler, Jean-Marc",74,,,,,,3,G04B,"MECHANICALLY-DRIVEN CLOCKS OR WATCHES; MECHANICAL PARTS OF CLOCKS OR WATCHES IN GENERAL; TIME-PIECES USING THE POSITION OF THE SUN, MOON, OR STARS (spring- or weight-driven mechanisms in general F03G; electromechanical clocks or watches G04C; electromechanical clocks with attached or built-in means operating any device at preselected times or after predetermined time intervals G04C0023000000; clocks or watches with stop devices G04F0007080000; structural details or housings specially adapted for electronic time-pieces with no moving parts G04G0017000000)","","",Thonon les Bains
"Benhayoun, Jacques",13,,,,,,5,A24D,CIGARS; CIGARETTES; TOBACCO SMOKE FILTERS; MOUTHPIECES FOR CIGARS OR CIGARETTES; MANUFACTURE OF TOBACCO SMOKE FILTERS OR MOUTHPIECES,C06C,DETONATING OR PRIMING DEVICES; FUSES; CHEMICAL LIGHTERS; PYROPHORIC COMPOSITIONS,Marseille
"Benjumea, Manuel",66,,,,,,3,F21V,"FUNCTIONAL FEATURES OR DETAILS OF LIGHTING DEVICES OR SYSTEMS THEREOF; STRUCTURAL COMBINATIONS OF LIGHTING DEVICES WITH OTHER ARTICLES, NOT OTHERWISE PROVIDED FOR",F21S,"NON-PORTABLE LIGHTING DEVICES OR SYSTEMS THEREOF (burners F23D; electric aspects or elements, see section H, e.g. electric light sources H01J, H01K, H05B)",Villeneuve de la Raho
"Benkendil, Mohamed",57,,,,,,2,F01B,"MACHINES OR ENGINES, IN GENERAL OR OF POSITIVE-DISPLACEMENT TYPE, e.g. STEAM ENGINES (of rotary-piston or oscillating-piston type F01C; of non-positive-displacement type F01D; combustion engines F02; internal-combustion aspects of reciprocating-piston engines F02B0057000000, F02B0059000000; machines for liquids F03, F04; crankshafts, crossheads, connecting-rods F16C; flywheels F16F; gearings for interconverting rotary motion and reciprocating motion in general F16H; pistons, piston-rods, cylinders, for engines in general F16J)",F04F,PUMPING OF FLUID BY DIRECT CONTACT OF ANOTHER FLUID OR BY USING INERTIA OF FLUID TO BE PUMPED (containers or packages with special means for dispensing liquid or semi-liquid contents by internal gaseous pressure B65D0083140000); SIPHONS,Noveant sur Moselle
"Benoit, Clémentine",38,,,,,,3,H02J,"CIRCUIT ARRANGEMENTS OR SYSTEMS FOR SUPPLYING OR DISTRIBUTING ELECTRIC POWER; SYSTEMS FOR STORING ELECTRIC ENERGY (power supply circuits for apparatus for measuring X-radiation, gamma radiation, corpuscular radiation or cosmic radiation G01T0001175000; electric power supply circuits specially adapted for use in electronic time-pieces with no moving parts G04G0019000000; for digital computers G06F0001180000; for discharge tubes H01J0037248000; circuits or apparatus for the conversion of electric power, arrangements for control or regulation of such circuits or apparatus H02M; interrelated control of several motors, control of a prime-mover/generator combination H02P; control of high-frequency power H03L; additional use of power line or power network for transmission of information H04B)",G01R,"MEASURING ELECTRIC VARIABLES; MEASURING MAGNETIC VARIABLES (measuring physical variables of any kind by conversion into electric variables, see Note (4) following the title of class G01; measuring diffusion of ions in an electric field, e.g. electrophoresis, electro-osmosis, G01N; investigating non-electric or non-magnetic properties of materials by using electric or magnetic methods G01N; indicating correct tuning of resonant circuits H03J0003120000; monitoring electronic pulse counters H03K0021400000; monitoring operation of communication systems H04)",Grenoble
"Bensaid, Patrick",77,,,,,,2,A61B,"DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N0033480000)",A61G,"TRANSPORT, PERSONAL CONVEYANCES, OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS (appliances for aiding patients or disabled persons to walk A61H0003000000); OPERATING TABLES OR CHAIRS; CHAIRS FOR DENTISTRY; FUNERAL DEVICES (embalming corpses A01N0001000000)",Bailly Romainvilliers
"Bensalah, Mohamed Belaïd Amine",95,,,,,,1,A24F,SMOKERS' REQUISITES; MATCH BOXES (lighters F23Q),"","",Saint Leu la Foret
"Bensaoud, Afida",94,,,,,,11,A45C,"PURSES; LUGGAGE; HAND CARRIED BAGS (sacks or packs carried on the body A45F; containers in general B65D, e.g. portable flexible containers, B65D0027000000-B65D0037000000; making leather, canvas, or like articles B68F)",A45F,TRAVELLING OR CAMP EQUIPMENT; SACKS OR PACKS CARRIED ON THE BODY (hand carried bags or luggage A45C),Chennevieres sur Marne
"Bense, Dominique",77,,,,,,3,F24F,"AIR-CONDITIONING; AIR-HUMIDIFICATION; VENTILATION; USE OF AIR CURRENTS FOR SCREENING (devices for ventilating greenhouses A01G; animal husbandry A01K, e.g. controlling humidity in incubators A01K0041040000; disinfecting or sterilising of air A61L; devices for reconditioning breathing air in sealed rooms or for ventilating gasproof shelters A62B; filtering, washing or drying of gases B01D; mixing gases with vapours or liquids in general B01F0003000000; spraying B05B, B05D; removing dirt or fumes from areas where they are produced B08B0015000000; ventilation, air-conditioning, or cooling, specially adapted for vehicles, see the relevant vehicle places, e.g. B60H, B61D0027000000; production of ozone C01B0013100000; chimneys or flues E04F0017020000, E04H0012280000, F23J0011000000, F23L0017020000; air ducts or conduits E04F0017040000, F16L; ventilation in doors or windows E06B0007020000; fans, blowers F04; noise-absorbing in pipes or pipe systems F16L; tops for chimneys or ventilating shafts F23L; cooling F25; details of heat-exchange or heat-transfer apparatus, of general application F28F; apparatus for generating ions to be introduced into non-enclosed gases, e.g. the atmosphere, H01T0023000000)","","",Place
"Bensimon, Julie",92,,,,,,3,B01L,"CHEMICAL OR PHYSICAL LABORATORY APPARATUS FOR GENERAL USE (apparatus for medical or pharmaceutical purposes A61; apparatus for industrial purposes or laboratory apparatus whose construction and performance are comparable to that of similar industrial apparatus, see the relevant classes for industrial apparatus, particularly subclasses of B01 and C12; separating or distilling apparatus B01D; mixing or stirring devices B01F; atomisers B05B; sieves B07B; corks, bungs B65D; handling liquids in general B67; vacuum pumps F04; siphons F04F0010000000; taps, stop-cocks F16K; tubes, tube joints F16L; apparatus specially adapted for investigating or analysing materials G01, particularly G01N; electrical or optical apparatus, see the relevant classes in sections G and H);",B03C,"MAGNETIC OR ELECTROSTATIC SEPARATION OF SOLID MATERIALS FROM SOLID MATERIALS OR FLUIDS; SEPARATION BY HIGH-VOLTAGE ELECTRIC FIELDS (filters making use of electricity or magnetism B01D0035060000; separating isotopes B01D0059000000; combinations of magnetic or electrostatic separation with separation of solids by other means B03B, B07B; separating sheets from piles B65H0003000000; magnets or magnet coils per seH01F)",Antony
"Bensoussan, Erik",26,,,,,,1,F16B,"DEVICES FOR FASTENING OR SECURING CONSTRUCTIONAL ELEMENTS OR MACHINE PARTS TOGETHER, e.g. NAILS, BOLTS, CIRCLIPS, CLAMPS, CLIPS OR WEDGES; JOINTS OR JOINTING (couplings for transmitting rotation F16D)","","",etoile sur Rhone
Benta Pharma Industries Europe Sarl,75,,,,,,2,A61M,"DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY (introducing media into or onto the bodies of animals A61D0007000000; means for inserting tampons A61F0013260000; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J0001050000); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY (surgery A61B; chemical aspects of surgical articles A61L; magnetotherapy using magnetic elements placed within the body A61N0002100000); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR","","",Paris
Bentley Instruments S.a.r.l.,59,,,,,,19,G01N,"INVESTIGATING OR ANALYSING MATERIALS BY DETERMINING THEIR CHEMICAL OR PHYSICAL PROPERTIES (separating components of materials in general B01D, B01J, B03, B07; apparatus fully provided for in a single other subclass, see the relevant subclass, e.g. B01L; measuring or testing processes other than immunoassay, involving enzymes or micro-organisms C12M, C12Q; investigation of foundation soil in situE02D0001000000; monitoring or diagnostic devices for exhaust-gas treatment apparatus F01N0011000000; sensing humidity changes for compensating measurements of other variables or for compensating readings of instruments for variations in humidity, seeG01D;  or the relevant subclass for the variable measuredtesting or determining the properties of structures G01M; measuring or investigating electric or magnetic properties of materials G01R; systems in general for determining distance, velocity or presence by use of propagation effects, e.g. Doppler effect, propagation time, of reflected or reradiated radio waves, analogous arrangements using other waves G01S; determining sensitivity, graininess, or density of photographic materials G03C0005020000; testing component parts of nuclear reactors G21C0017000000)",C12Q,MEASURING OR TESTING PROCESSES INVOLVING ENZYMES OR MICRO-ORGANISMS (immunoassay G01N0033530000); COMPOSITIONS OR TEST PAPERS THEREFOR; PROCESSES OF PREPARING SUCH COMPOSITIONS; CONDITION-RESPONSIVE CONTROL IN MICROBIOLOGICAL OR ENZYMOLOGICAL PROCESSES,Lille
Benvic Europe SAS,21,,,,,,26,D06M,"TREATMENT, NOT PROVIDED FOR ELSEWHERE IN CLASS  D06, OF FIBRES, THREADS, YARNS, FABRICS, FEATHERS, OR FIBROUS GOODS MADE FROM SUCH MATERIALS(surface treatment of fibres or filaments from glass, minerals or slags C03C0025000000; treatment of textiles by mechanical means, seeD06B-D06J)",C08J,"WORKING-UP; GENERAL PROCESSES OF COMPOUNDING; AFTER-TREATMENT NOT COVERED BY SUBCLASSES  C08B, C08C, C08F, C08G;  or C08H; (working, e.g. shaping, of plastics B29)",Chevigny Saint Sauveur
"Benzineb, Tarak",54,,,,,,2,A61C,DENTISTRY; APPARATUS OR METHODS FOR ORAL OR DENTAL HYGIENE (non-driven toothbrushes A46B; preparations for dentistry A61K0006000000),"","",Houdemont
"Beraka, Philippe",33,,,,,,2,B62K,"CYCLES; CYCLE FRAMES; CYCLE STEERING DEVICES; RIDER-OPERATED TERMINAL CONTROLS SPECIALLY ADAPTED FOR CYCLES; CYCLE AXLE SUSPENSIONS; CYCLE SIDECARS, FORECARS, OR THE LIKE","","",Libourne
"Berard, Dominique",91,,,,,,5,B65F,"GATHERING OR REMOVAL OF DOMESTIC OR LIKE REFUSE (disinfecting refuse A61L; refuse disintegrators B02C; sorting refuse B03B, B07B; handcarts for transporting refuse receptacles B62B; sack holders B65B0067000000; converting refuse into fertilisers C05F; converting refuse into solid fuels C10L; sewers, cesspools E03F; arrangements in buildings for the disposal of refuse E04F0017100000; refuse-consuming furnaces F23G)",B62B,"HAND-PROPELLED VEHICLES, e.g. HAND CARTS OR PERAMBULATORS; SLEDGES (characterised by animal propulsion B62C; propulsion of sledges by driver or engine B62M)",Massy
"Berchotteau, Raymond",17,,,,,,2,A46B,BRUSHES (handles not integral with brushware B25G),"","",Sainte Marie de Re
"Berdat, William",63,,,,,,1,F16L,"PIPES; JOINTS OR FITTINGS FOR PIPES; SUPPORTS FOR PIPES, CABLES OR PROTECTIVE TUBING; MEANS FOR THERMAL INSULATION IN GENERAL","","",Mer
Berdoues Parfums et Cosmétiques,31,,,,,,7,A61K,"PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J0003000000; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L)",A61Q,SPECIFIC USE OF COSMETICS OR SIMILAR TOILET PREPARATIONS,Cugnaux
"Bereczky, Alexandre",54,,,,,,2,A47G,HOUSEHOLD OR TABLE EQUIPMENT (book-ends A47B0065000000; knives B26B),A61B,"DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N0033480000)",Lexy
"Berger, Pascal",74,,,,,,1,A62B,"DEVICES, APPARATUS OR METHODS FOR LIFE-SAVING (valves specially adapted for medical use A61M0039000000; composition of chemical substances used in respirators, gas-masks, breathing apparatus or the like A62D; rescuing from mountains or trees A63B0027000000, A63B0029000000; life-saving devices, apparatus or methods specially adapted for use in water B63C0009000000; divers' equipment B63C0011000000; specially adapted for use with aircraft, e.g. parachutes or ejector seats, B64D; rescue devices peculiar to mining E21F0011000000)","","",Saint Jean d Aulps
"Bergonzo, Maurice",92,,,,,,3,B01F,"MIXING, e.g. DISSOLVING, EMULSIFYING, DISPERSING (mixing paints B44D0003060000)",B01J,"CHEMICAL OR PHYSICAL PROCESSES, e.g. CATALYSIS, COLLOID CHEMISTRY; THEIR RELEVANT APPARATUS (processes or apparatus for specific applications, see the relevant places for these processes or apparatus, e.g. F26B0003080000)",Courbevoie
Bergoz Instrumentation S.A.R.L.,16,,,,,,4,G01R,"MEASURING ELECTRIC VARIABLES; MEASURING MAGNETIC VARIABLES (measuring physical variables of any kind by conversion into electric variables, see Note (4) following the title of class G01; measuring diffusion of ions in an electric field, e.g. electrophoresis, electro-osmosis, G01N; investigating non-electric or non-magnetic properties of materials by using electric or magnetic methods G01N; indicating correct tuning of resonant circuits H03J0003120000; monitoring electronic pulse counters H03K0021400000; monitoring operation of communication systems H04)",H03K,"PULSE TECHNIQUE (measuring pulse characteristics G01R; mechanical counters having an electrical input G06M; information storage devices in general G11; sample-and-hold arrangements in electric analogue stores G11C0027020000; construction of switches involving contact making and breaking for generation of pulses, e.g. by using a moving magnet, H01H; static conversion of electric power H02M; generation of oscillations by circuits employing active elements which operate in a non-switching manner H03B; modulating sinusoidal oscillations with pulses H03C, H04L; discriminator circuits involving pulse counting H03D; automatic control of generators H03L; starting, synchronisation, or stabilisation of generators where the type of generator is irrelevant or unspecified H03L; coding, decoding or code conversion, in general H03M)",Saint Genis Pouilly
"Bergue, Bertrand",69,,,,,,1,A01N,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF (preservation of food or foodstuff A23); BIOCIDES, e.g. AS DISINFECTANTS, AS PESTICIDES OR AS HERBICIDES (preparations for medical, dental or toilet purposes which kill or prevent the growth or proliferation of unwanted organisms A61K); PEST REPELLANTS OR ATTRACTANTS; PLANT GROWTH REGULATORS (mixtures of pesticides with fertilisers C05G)","","",Caluire et Cuire
"Berhault-Mercier, Jean-Paul",94,,,,,,1,A63B,"APPARATUS FOR PHYSICAL TRAINING, GYMNASTICS, SWIMMING, CLIMBING, OR FENCING; BALL GAMES; TRAINING EQUIPMENT (apparatus for passive exercising, massage A61H)","","",Thiais
Bericap,21,,,,,,10,B65D,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS; ACCESSORIES, CLOSURES, OR FITTINGS THEREFOR; PACKAGING ELEMENTS; PACKAGES",B29C,"SHAPING OR JOINING OF PLASTICS; SHAPING OF SUBSTANCES IN A PLASTIC STATE, IN GENERAL; AFTER- TREATMENT OF THE SHAPED PRODUCTS, e.g. REPAIRING (working in the manner of metal B23; grinding, polishing B24; cutting B26D, B26F; making preforms B29B0011000000;  making laminated products by combining previously unconnected layers which become one product whose layers will remain together B32B0037000000-B32B0041000000)",Longvic
Beringer Aero,51,,,,,,6,B64C,AEROPLANES; HELICOPTERS (air-cushion vehicles B60V),"","",Tallard
Berkem S.A.,24,,,,,,34,A01N,"PRESERVATION OF BODIES OF HUMANS OR ANIMALS OR PLANTS OR PARTS THEREOF (preservation of food or foodstuff A23); BIOCIDES, e.g. AS DISINFECTANTS, AS PESTICIDES OR AS HERBICIDES (preparations for medical, dental or toilet purposes which kill or prevent the growth or proliferation of unwanted organisms A61K); PEST REPELLANTS OR ATTRACTANTS; PLANT GROWTH REGULATORS (mixtures of pesticides with fertilisers C05G)",B27K,"PROCESSES, APPARATUS OR SELECTION OF SUBSTANCES FOR IMPREGNATING, STAINING, DYEING OR BLEACHING OF WOOD, OR FOR TREATING OF WOOD WITH PERMEANT LIQUIDS, NOT OTHERWISE PROVIDED FOR; CHEMICAL OR PHYSICAL TREATMENT OF CORK, CANE, REED, STRAW OR SIMILAR MATERIALS",Gardonne
"Bermudes, Marc",97,,,,,,3,C02F,"TREATMENT OF WATER, WASTE WATER, SEWAGE, OR SLUDGE (processes for making harmful chemical substances harmless, or less harmful, by effecting a chemical change in the substances A62D0003000000; separation, settling tanks or filter devices  B01D; special arrangements on waterborne vessels of installations for treating water, waste water or sewage, e.g. for producing fresh water, B63J; adding materials to water to prevent corrosion C23F; treating radioactively-contaminated liquids G21F0009040000)",B01D,"SEPARATION (separating solids from solids by wet methods B03B, B03D, by pneumatic jigs or tables B03B, by other dry methods B07; magnetic or electrostatic separation of solid materials from solid materials or fluids, separation by high-voltage electric fields B03C; centrifuges B04B; presses per se for squeezing-out liquid from liquid-containing material B30B0009020000)",Sainte Marie
"Bernard, Philippe",83,,,,,,24,F16H,GEARING,B65D,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS; ACCESSORIES, CLOSURES, OR FITTINGS THEREFOR; PACKAGING ELEMENTS; PACKAGES",Carqueiranne
